Paises,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Estados Unidos,"1,389.4","1,273.3","1,323.3","1,307.3","1,730.2","1,760.3","1,860.4","2,032.6","1,644.5","1,758.0","1,967.4","1,831.8","2,099.2","2,531.8","3,298.6","5,049.7","6,825.8","6,173.4","8,456.4","4,625.9","6,078.1","9,772.3","10,623.6","11,042.7","11,239.6","7,226.2","5,436.1","5,968.4","6,631.3","6,732.9",
Chile,62.7,109.8,140.7,117.4,165.8,196.9,220.7,238.6,139.8,195.1,223.6,91.0,74.5,75.7,125.8,305.2,554.4,664.5,"1,509.4",900.0,846.6,"1,106.2","1,990.6","2,457.3","2,327.6","1,138.1","1,150.6","1,235.2","1,449.4","1,485.1",
Panamá ,,,,,,,,,,,,,,,,,,,,,,,923.4,626.0,"1,398.1",441.6,662.3,941.8,"1,243.5","1,918.5",
Colombia,268.6,169.1,224.9,147.3,189.3,253.3,302.1,355.6,282.6,227.2,272.5,324.5,362.6,375.7,335.2,511.6,715.5,745.8,807.5,679.4,793.9,"1,025.9","1,056.2",912.1,951.3,784.0,810.5,790.9,834.8,855.0,
Perú,153.0,171.7,94.8,131.0,162.4,69.5,49.3,223.7,212.9,180.6,293.8,341.6,376.4,648.4,605.8,876.1,"1,039.7","1,505.2","1,731.5",939.7,"1,335.7","1,766.6","1,991.7","1,901.3","1,581.8",934.2,934.2,"1,297.1","1,633.8",952.0,
Unión Europea,174.2,344.0,366.1,496.2,687.8,803.6,872.2,978.4,855.2,797.7,604.6,657.6,758.1,"1,043.8",972.9,"1,220.2","1,425.6","1,717.7","2,035.9","1,984.4","2,182.4","2,553.2","2,296.5","2,841.0","2,805.5","2,607.0","2,692.4","2,972.4","3,107.8","2,941.8",
Rep. Popular China,0.7,3.4,1.2,0.7,17.5,17.0,77.0,157.3,52.2,83.7,58.2,9.2,14.7,13.7,49.6,7.4,194.7,39.1,387.5,124.2,328.7,192.3,391.9,563.9,485.1,723.0,656.4,778.8,"1,507.0","2,896.8",
Resto de países,660.55 ,752.13 ,931.49 ,818.57 ,845.75 ,"1,184.36 ","1,365.90 ","1,182.15 ",955.16 ,"1,152.84 ","1,453.88 ","1,385.11 ","1,298.49 ","1,471.00 ","2,288.90 ","2,056.37 ","1,813.65 ",-705.52 ,"9,407.88 ","2,199.08 ","5,840.07 ","5,766.71 ","4,326.45 ","4,236.58 ","4,759.72 ","4,310.60 ","4,316.03 ","4,908.48 ","5,030.72 ","4,381.27 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
