Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2000,78.07,90.84,80.88,88.88,96.87,103.68,102.34,104.01,107.87,104.93,96.80,91.00
2001,78.69,67.12,58.78,46.55,39.61,33.20,30.43,29.24,27.20,25.31,24.62,22.44
2002,16.53,14.44,13.24,12.99,13.36,13.25,12.90,12.90,11.28,10.70,9.71,9.36
2003,10.09,9.76,9.15,8.59,8.25,7.62,7.72,7.32,7.55,6.86,6.48,6.07
2004,3.92,3.84,3.98,3.65,2.97,2.87,2.20,2.17,1.60,1.88,1.97,1.95
2005,1.78,1.36,0.92,1.11,1.77,2.15,2.63,2.45,2.95,3.02,2.76,3.13
2006,3.37,3.82,4.23,3.43,3.11,2.80,2.99,3.36,3.21,3.21,3.21,2.87
2007,2.68,2.03,1.47,1.39,1.56,2.19,2.58,2.44,2.58,2.36,2.70,3.32
2008,4.19,5.10,6.56,8.18,9.29,9.69,9.87,10.02,9.97,9.85,9.13,8.83
2009,8.36,7.85,7.44,6.52,5.41,4.54,3.85,3.33,3.29,3.50,4.02,4.31
2010,4.44,4.31,3.35,3.21,3.24,3.30,3.40,3.82,3.44,3.46,3.39,3.33
2011,3.17,3.39,3.57,3.88,4.23,4.28,4.44,4.84,5.39,5.50,5.53,5.41
2012,5.29,5.53,6.12,5.42,4.85,5.00,5.09,4.88,5.22,4.94,4.77,4.16
2013,4.10,3.48,3.01,3.03,3.01,2.68,2.39,2.27,1.71,2.04,2.30,2.70
2014,2.92,2.85,3.11,3.23,3.41,3.67,4.11,4.15,4.19,3.98,3.76,3.67
2015,3.53,4.05,3.76,4.32,4.55,4.87,4.36,4.14,3.78,3.48,3.40,3.38
2016,3.09,2.60,2.32,1.78,1.63,1.59,1.58,1.42,1.30,1.31,1.05,1.12
2017,0.90,0.96,0.96,1.09,1.10,0.16,0.10,0.28,-0.03,-0.09,-0.22,-0.20
2018,-0.09,-0.14,-0.21,-0.78,-1.01,-0.71,-0.57,-0.32,0.23,0.33,0.35,0.27
2019,0.54,0.16,-0.12,0.19,0.37,0.61,0.71,0.33,-0.07,0.50,0.04,-0.07
2020,-0.30,-0.23,0.18,1.01,0.75,0.17,-0.54,-0.76,-0.90,,,
