Año,Azuay,Bolívar,Cañar,Carchi,Cotopaxi,Chimborazo,El Oro,Esmeraldas,Guayas,Imbabura,Loja,Los Ríos,Manabí,Morona Santiago,Napo,Pastaza,Pichincha,Tungurahua,Zamora Chinchipe,Galápagos,Sucumbíos,Orellana,Santo Domingo,Santa Elena,Ecuador
2007, 200.00 , 100.00 , 140.00 , 140.00 , 150.00 , 140.00 , 185.00 , 150.00 , 195.00 , 160.00 , 150.00 , 160.00 , 140.00 , 180.00 , 110.00 , 200.00 , 242.00 , 150.00 , 140.00 ,, 175.00 , 170.00 ,,, 185.00 
2008, 212.00 , 120.00 , 160.00 , 160.00 , 180.00 , 150.00 , 200.00 , 160.00 , 215.00 , 170.00 , 150.00 , 180.00 , 160.00 , 160.00 , 130.00 , 240.00 , 262.00 , 179.00 , 150.00 ,, 223.00 , 210.00 ,,, 200.00 
2009, 224.00 , 120.00 , 160.00 , 150.00 , 180.00 , 150.00 , 220.00 , 180.00 , 230.00 , 180.00 , 180.00 , 190.00 , 180.00 , 150.00 , 150.00 , 200.00 , 250.00 , 200.00 , 160.00 ,, 190.00 , 140.00 ,,, 206.00 
2010, 261.00 , 160.00 , 200.00 , 170.00 , 200.00 , 170.00 , 240.00 , 200.00 , 250.00 , 200.00 , 200.00 , 230.00 , 190.00 , 230.00 , 200.00 , 250.00 , 300.00 , 215.00 , 200.00 ,, 260.00 , 200.00 ,,, 240.00 
2011, 270.00 , 144.00 , 170.00 , 195.00 , 200.00 , 160.00 , 285.00 , 250.00 , 297.00 , 240.00 , 220.00 , 260.00 , 250.00 , 190.00 , 320.00 , 220.00 , 321.00 , 240.00 , 150.00 ,, 260.00 , 356.00 ,,, 280.00 
2012, 300.00 , 125.00 , 220.00 , 240.00 , 200.00 , 160.00 , 321.00 , 250.00 , 322.00 , 292.00 , 250.00 , 262.00 , 250.00 , 200.00 , 380.00 , 260.00 , 370.00 , 250.00 , 220.00 ,, 310.00 , 220.00 ,,, 308.00 
2013, 320.00 , 215.00 , 250.00 , 280.00 , 320.00 , 230.00 , 343.00 , 250.00 , 348.00 , 320.00 , 240.00 , 265.00 , 280.00 , 270.00 , 390.00 , 420.00 , 413.00 , 302.00 , 280.00 ,, 348.00 , 320.00 , 313.00 , 280.00 , 332.00 
2014, 350.00 , 270.00 , 320.00 , 298.00 , 350.00 , 305.00 , 350.00 , 300.00 , 375.00 , 340.00 , 330.00 , 300.00 , 290.00 , 300.00 , 370.00 , 360.00 , 418.00 , 320.00 , 310.00 , 800.00 , 390.00 , 400.00 , 360.00 , 330.00 , 360.00 
2015, 385.00 , 280.00 , 350.00 , 265.00 , 357.00 , 250.00 , 380.00 , 280.00 , 374.00 , 354.00 , 350.00 , 316.00 , 300.00 , 280.00 , 300.00 , 340.00 , 440.00 , 350.00 , 300.00 , 966.00 , 350.00 , 330.00 , 358.00 , 300.00 , 370.00 
2016, 395.00 , 280.00 , 380.00 , 280.00 , 360.00 , 220.00 , 374.00 , 300.00 , 382.00 , 350.00 , 305.00 , 310.00 , 310.00 , 230.00 , 296.00 , 245.00 , 444.00 , 320.00 , 330.00 , 942.00 , 368.00 , 400.00 , 366.00 , 350.00 , 375.00 
2017, 382.00 , 280.00 , 314.00 , 260.00 , 400.00 , 265.00 , 396.00 , 300.00 , 400.00 , 375.00 , 310.00 , 320.00 , 340.00 , 300.00 , 230.00 , 320.00 , 455.00 , 370.00 , 360.00 ," 1,035.00 ", 376.00 , 352.00 , 372.00 , 350.00 , 385.00 
2018, 400.00 , 280.00 , 310.00 , 260.00 , 312.00 , 206.00 , 400.00 , 250.00 , 400.00 , 300.00 , 360.00 , 300.00 , 300.00 , 300.00 , 290.00 , 350.00 , 446.00 , 360.00 , 250.00 ,, 250.00 , 280.00 , 360.00 , 320.00 , 386.00 
