Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sexo
 0  -  4,0.070762526,0.069803308,0.068848857,0.067898868,0.066954147,0.066013421,0.065076569,0.064145285,0.063219178,0.062297884,0.061380824,0.060469064,0.060983721,0.060648181,0.06030671,0.059262036,0.058950464,0.058635178,0.058314651,0.057990136,0.057660262,0.056781379,0.055824464,0.054813487,0.053792471,0.052789989,0.051822009,0.050901602,0.050027057,0.049196241,0.048406903,Hombres
 5  -  9,0.063855993,0.063312906,0.062766596,0.062218596,0.061667359,0.061113504,0.060556893,0.059997575,0.059436596,0.058872874,0.05830666,0.057738174,0.058689305,0.058443456,0.058188922,0.056850457,0.056615489,0.056374887,0.056128838,0.05587662,0.05561806,0.055171965,0.05469277,0.054180957,0.053612031,0.052972005,0.052257675,0.051469225,0.050627172,0.049770367,0.048925159,Hombres
 10 - 14,0.05927998,0.058992247,0.058698729,0.058399364,0.05809374,0.057782395,0.057464931,0.057142024,0.05681303,0.056478442,0.056137516,0.055791083,0.05653198,0.056153293,0.055768888,0.054271327,0.053882795,0.053489973,0.053093645,0.052692572,0.052287509,0.052131831,0.051943006,0.05171797,0.05145567,0.051157932,0.050828588,0.050471846,0.050084742,0.049642674,0.04913132,Hombres
 15 - 19,0.054314398,0.054047675,0.053776581,0.053499106,0.053216561,0.052929605,0.052637164,0.052339458,0.052035791,0.051726782,0.05141371,0.051093593,0.051824233,0.051499916,0.051169598,0.049748285,0.049397527,0.049041708,0.048680011,0.048312064,0.047939053,0.047954954,0.047958849,0.047948528,0.047919677,0.047870844,0.047799922,0.047701561,0.047570674,0.047405876,0.047208089,Hombres
 20 - 24,0.0483343,0.048216337,0.048092411,0.04796336,0.047827621,0.047687257,0.047540656,0.04738828,0.047229699,0.047065274,0.046893556,0.046716365,0.047350191,0.046998722,0.046644911,0.045281871,0.044915266,0.044546099,0.04417303,0.043797213,0.043417539,0.043423378,0.043445021,0.043487031,0.043547558,0.043620788,0.043695009,0.043761758,0.043816608,0.043856417,0.043878,Hombres
 25 - 29,0.041518312,0.041629368,0.041737344,0.041838757,0.041935453,0.042024765,0.042109418,0.042187772,0.042259916,0.042325606,0.042384175,0.042435903,0.043007587,0.042667427,0.042322114,0.041007931,0.040646045,0.040282569,0.039917484,0.039550029,0.039180527,0.039249842,0.039306879,0.039359168,0.03941328,0.039473503,0.039545809,0.039634673,0.039740515,0.039861626,0.039992135,Hombres
 30 - 34,0.035420969,0.03563435,0.035843768,0.036049558,0.036251768,0.036449413,0.03664388,0.036832774,0.037018204,0.037198493,0.037373007,0.037543165,0.038107838,0.037848805,0.03758491,0.036368574,0.036067469,0.035763394,0.035456451,0.035146859,0.03483387,0.035047091,0.035250754,0.035439867,0.035609185,0.035757944,0.035889448,0.036010898,0.036127725,0.03624557,0.036368796,Hombres
 35 - 39,0.029926699,0.030138675,0.030346862,0.030553953,0.030758132,0.030959513,0.031158842,0.031354303,0.031547173,0.031736964,0.031923094,0.032105264,0.032796282,0.032686553,0.032573131,0.031544248,0.031392364,0.031235987,0.031075292,0.030909853,0.030739141,0.030943447,0.031164992,0.031400817,0.03164761,0.031902388,0.032158551,0.032408878,0.032647047,0.032866948,0.033067147,Hombres
 40 - 44,0.022198267,0.022641184,0.023091053,0.023548287,0.024012694,0.024484562,0.024964037,0.025450452,0.025943971,0.026443989,0.026952545,0.027467004,0.02829062,0.028301954,0.028309219,0.027440409,0.027422471,0.027399472,0.027372504,0.027340215,0.027302809,0.027437454,0.027584031,0.027749665,0.027938665,0.028152736,0.028389356,0.028644493,0.028913306,0.029193445,0.02948167,Hombres
 45 - 49,0.018412823,0.018797949,0.019191809,0.019594263,0.020003768,0.020422356,0.020849867,0.021285443,0.021730355,0.022183143,0.0226449,0.023115528,0.024035693,0.024166161,0.024292063,0.023575687,0.023683303,0.023787156,0.023887366,0.023983897,0.024076639,0.024250789,0.024414255,0.024572055,0.024728051,0.024886841,0.025052984,0.025231482,0.025427752,0.02564584,0.025887742,Hombres
