Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sexo
 0 -  4,0.068302051,0.067354778,0.066412716,0.065474928,0.064543616,0.063617125,0.062695157,0.061779194,0.060868625,0.059963336,0.059063809,0.058167843,0.056647304,0.056309304,0.055968491,0.056824512,0.056479216,0.056130286,0.055776593,0.055418839,0.055056984,0.054234483,0.053347686,0.052408504,0.051451802,0.050504446,0.04957834,0.048690238,0.047846882,0.047045672,0.046284937,Mujeres
 5  -  9,0.061907456,0.061352806,0.060796109,0.060236949,0.059675154,0.059111477,0.058544685,0.057976168,0.057405504,0.056832928,0.056257536,0.055680349,0.053992557,0.053740679,0.053484629,0.054648624,0.054378906,0.054104536,0.053824667,0.053539539,0.053249458,0.052769832,0.052274558,0.051760126,0.051206348,0.050597082,0.049929426,0.049199865,0.048418742,0.047617076,0.046818612,Mujeres
 10 - 14,0.057652833,0.057341836,0.05702461,0.056702782,0.056374578,0.056043038,0.05570475,0.055362109,0.055014342,0.05466155,0.054303375,0.053940289,0.052153251,0.051804281,0.051451331,0.052488697,0.052116544,0.05174027,0.051359436,0.050975501,0.050586695,0.050302327,0.050000796,0.049682249,0.04934548,0.048993651,0.048629931,0.048254283,0.047860452,0.047428403,0.046942308,Mujeres
 15 - 19,0.052975635,0.052700675,0.052419742,0.052133479,0.051841995,0.051545393,0.051243662,0.050937204,0.050625192,0.050307615,0.049985835,0.04965772,0.048088647,0.047836737,0.047581755,0.048615885,0.048341142,0.048060912,0.047775146,0.047482873,0.047185135,0.047040399,0.046887718,0.046725434,0.046553398,0.046371905,0.046179471,0.045973658,0.045751885,0.045513472,0.045261273,Mujeres
 20 - 24,0.047382446,0.047277907,0.047167065,0.047049203,0.046923955,0.046792192,0.04665347,0.046508634,0.046355538,0.046195743,0.046028995,0.045854685,0.044430962,0.044212372,0.043989928,0.044957193,0.044721276,0.044479057,0.04423252,0.043981086,0.04372369,0.043547899,0.043401596,0.043287472,0.043198282,0.043121735,0.043048558,0.042971031,0.042884891,0.042789819,0.042684269,Mujeres
 25 - 29,0.041001349,0.041146055,0.041285128,0.041417694,0.041543732,0.041662951,0.04177582,0.041881263,0.041979564,0.042070409,0.042153391,0.042228481,0.040951533,0.040810912,0.040664926,0.041634184,0.041472563,0.04130663,0.041133966,0.040957095,0.040773894,0.040627898,0.040471818,0.040316775,0.040171977,0.040045473,0.039944811,0.039874168,0.039831449,0.039810259,0.039800023,Mujeres
 30 - 34,0.035308847,0.035569071,0.035824559,0.036075886,0.036323502,0.036566609,0.036804237,0.037037794,0.037265534,0.037488772,0.037705696,0.037917272,0.036841258,0.036812286,0.036779043,0.03776385,0.037712127,0.037654357,0.037590719,0.037521868,0.037446141,0.03754689,0.037597256,0.037601105,0.037567199,0.037507577,0.03743258,0.037349756,0.037267978,0.037194899,0.037138442,Mujeres
 35 - 39,0.030029855,0.030282269,0.030531666,0.030778019,0.03102273,0.031263974,0.03150219,0.031737247,0.031969118,0.032197021,0.032421211,0.032641453,0.031860858,0.031957251,0.032049292,0.033020202,0.033102187,0.033180204,0.03325226,0.033319193,0.033380255,0.033629537,0.033874165,0.034108562,0.034323891,0.034509699,0.034656686,0.034760613,0.03482264,0.034849461,0.034851319,Mujeres
 40 - 44,0.022272063,0.022744606,0.023224759,0.023714414,0.024212278,0.02471762,0.025231473,0.025752785,0.026282779,0.026820177,0.027365913,0.027919616,0.02737406,0.027549302,0.027721847,0.028647073,0.028821078,0.028991173,0.029157567,0.029320339,0.029478436,0.0297019,0.02993717,0.030188436,0.030453161,0.03072712,0.031004983,0.031280367,0.031548207,0.03179925,0.032023496,Mujeres
 45 - 49,0.018552335,0.018964429,0.019385508,0.019815363,0.020253838,0.020702008,0.021159176,0.021625867,0.022100683,0.022585356,0.023079495,0.023583045,0.023233159,0.023468917,0.023704321,0.024567648,0.024811728,0.025053778,0.025295033,0.025534329,0.025771591,0.026054813,0.026318195,0.026567142,0.026807482,0.027046822,0.027294717,0.027557587,0.027835554,0.028126557,0.028425912,Mujeres
 50 - 54,0.015742291,0.015929935,0.016118932,0.016310676,0.016504153,0.016700179,0.016897359,0.017096746,0.017297426,0.017500177,0.017704835,0.017910332,0.017904419,0.018293602,0.01868996,0.019543415,0.019971204,0.020406639,0.020849408,0.021300105,0.021757863,0.022151477,0.022525843,0.022880554,0.023215273,0.023531339,0.023829599,0.024111614,0.024381252,0.024643754,0.024906624,Mujeres
 55 - 59,0.013091367,0.01319383,0.013296056,0.013397814,0.013499229,0.013600084,0.013700495,0.01379954,0.013898014,0.013996275,0.014093212,0.014189392,0.014265751,0.014621262,0.014983904,0.015678255,0.016070557,0.016471495,0.016880468,0.017298333,0.017724151,0.018116743,0.018517202,0.018922837,0.019329381,0.019731561,0.020123567,0.020501727,0.02086292,0.021206932,0.021534732,Mujeres
 60 - 64,0.010573648,0.010679731,0.010784499,0.010890903,0.010996443,0.011102242,0.011207652,0.01131313,0.011417792,0.011522462,0.011627369,0.011732098,0.011774138,0.012024558,0.012278522,0.012773428,0.013044693,0.013320031,0.013599158,0.013882579,0.014170448,0.014479285,0.014805386,0.015149084,0.015509251,0.015883069,0.016267796,0.016662001,0.017062623,0.01746521,0.017865078,Mujeres
 65 - 69,0.008184801,0.008293196,0.008403052,0.008513779,0.008626228,0.008738668,0.00885288,0.008967149,0.00908325,0.009199498,0.009317297,0.009435949,0.009468725,0.009647755,0.009828824,0.010177245,0.010368141,0.010560829,0.010755564,0.010952221,0.01115031,0.011381508,0.011625302,0.011882788,0.012153949,0.012440748,0.01274381,0.013063915,0.013400959,0.013753949,0.014119984,Mujeres
 70 - 74,0.006092713,0.006184771,0.00627842,0.006372402,0.006468672,0.006565917,0.006664732,0.006764922,0.006866036,0.006968971,0.00707298,0.007178897,0.007220438,0.007356766,0.007496306,0.007751381,0.007898683,0.008047847,0.008198644,0.008350391,0.008504001,0.008659326,0.008830954,0.009017893,0.009218301,0.009431321,0.00965779,0.009896777,0.010147909,0.010411695,0.010690013,Mujeres
 75 - 79,0.004469211,0.004517653,0.004566072,0.004615748,0.004664882,0.004715498,0.004765957,0.004817564,0.004869383,0.004921193,0.0049743,0.005027819,0.005085337,0.005198739,0.005315132,0.005512161,0.005638326,0.005766099,0.005896753,0.006028508,0.006162776,0.006226537,0.006311202,0.006414745,0.00653603,0.006674737,0.006828958,0.006997208,0.007178292,0.007369881,0.007572252,Mujeres
 80 y Mas,0.004081218,0.004209221,0.004345026,0.004485128,0.004632738,0.004788146,0.004952257,0.005122965,0.005304254,0.00549506,0.005696178,0.00590971,0.006049019,0.006240364,0.006441913,0.006753953,0.006987308,0.007230751,0.007483859,0.007747886,0.008024059,0.007822195,0.007691335,0.007615018,0.007587163,0.007600233,0.007652433,0.00773876,0.007857769,0.008007651,0.008185308,Mujeres
