Año,Azuay,Bolívar,Cañar,Carchi,Cotopaxi,Chimborazo,El Oro,Esmeraldas,Guayas,Imbabura,Loja,Los Ríos,Manabí,Morona Santiago,Napo,Pastaza,Pichincha,Tungurahua,Zamora Chinchipe,Galápagos,Sucumbíos,Orellana,Santo Domingo,Santa Elena,Ecuador
2007,31.16,64.69,44.54,46.23,49.17,51.52,29.24,52.11,31.3,43.54,50.09,45,52.69,56.8,67.85,26.51,19.27,34.75,67.47,,45.21,57.56,,,36.74
2008,28.21,65.5,49.17,46.33,41.64,51.18,27.92,56.32,26.75,46.75,51.56,40.92,54.96,52.1,66.89,22.11,18.86,33.61,58.81,,39.82,48.61,,,35.09
2009,29.89,64.94,42.47,52.86,48.34,54.93,30.34,53.9,31.12,44.4,42.48,40.79,42.77,62.03,72.93,50.24,21.03,33.34,51.74,,50.37,67.74,,,36.03
2010,23.88,63.32,39.11,45.05,47.82,53.1,24.6,51.26,27.43,37.25,41.48,36.87,44.33,46.96,68.43,39.99,19.24,29.47,44.12,,37.28,55.24,,,32.76
2011,23.42,57.5,46.44,44.36,44.26,51.94,21.69,43.66,19.85,35.85,40.74,34.66,35.37,58.79,42.58,49.28,16.19,31.82,46.55,,37.78,49.94,,,28.64
2012,23.64,61.76,42.06,37.26,43.97,55.1,15.66,46.15,17.78,34.71,38.69,33.71,34.97,61.79,28.96,42.48,14.91,27.94,40.6,,36.26,67.04,,,27.31
2013,18.84,49.05,31.08,29.05,28.05,41.42,17.48,46.1,23.18,28.49,31.99,34.42,36.62,45.43,35.83,32.49,9.13,19.98,24.27,,34.98,36.22,33.3,34.35,25.55
2014,15.06,43.71,24.62,30.23,22.07,35.29,17.01,41.31,18.51,24.93,28.29,32.1,30.8,51.78,40.14,37.88,9.44,20.88,34.59,,31.84,36.78,20.36,32.87,22.49
2015,15.99,39.53,22.9,33.5,26.93,43.51,16.4,46.26,17.32,26.59,23.42,29.21,33.35,50.47,51.1,45.78,11.27,17.85,33.85,0.7,39.34,47.49,22.39,30.88,23.28
2016,14.96,36.57,24.39,35.16,29.89,44.04,18.32,43.07,17.72,27.82,27.54,25.32,25.23,50.6,49.81,56.41,13.59,21.8,36.96,0.4,37.9,42.35,16.56,27.55,22.92
2017,18.55,36.11,29.12,32.93,27.33,36.52,14.61,41.95,15.32,23.34,31.01,23.33,19.4,47.07,49.08,41.95,9.62,23.06,32.84,0.23,39.37,40.93,19.25,24.64,21.46
2018,9.94,28.93,27.85,37.78,30.83,54.56,13.43,53.27,17.53,34.3,23.12,21.73,26.18,49.43,39.33,40.94,9.57,17.16,29.11,,44.5,56.52,21.18,27.87,23.22
