DPA_PROVIN,DPA_DESPRO,KM2,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01,Azuay,8323.51,739520,753493,767695,781919,796169,810412,824646,838859,853070,867239,881394,895503,909585,923610,937600,951526,965401,979224,993005,1006726,1020376,1033930,1047403,1060777,1074057,1087234,1100281,1113202,1125969,1138598,1151062,1163362,1175488,1187440,1199194,1210759,1222108,1233256,1244192,1254909,1265395
02,Bolivar,3943.66,191631,193689,195719,197708,199646,201533,203344,205094,206771,208384,209933,211413,212836,214215,215540,216826,218059,219244,220389,221482,222525,223523,224470,225357,226189,226966,227685,228354,228978,229544,230056,230525,230952,231331,231662,231947,232182,232367,232507,232589,232623
03,Cañar,3145.63,235814,240248,244754,249297,253863,258450,263048,267643,272236,276819,281396,285960,290507,295040,299555,304053,308528,312988,317412,321820,326212,330573,334904,339198,343465,347697,351899,356056,360177,364251,368287,372278,376222,380112,383954,387744,391476,395153,398766,402305,405786
04,Carchi,3772.98,171746,173410,175050,176662,178228,179768,181265,182719,184136,185523,186869,188167,189421,190647,191832,192981,194088,195145,196157,197125,198046,198922,199757,200535,201276,201967,202614,203212,203752,204244,204667,205034,205348,205614,205815,205959,206044,206077,206046,205963,205822
05,Cotopaxi,6105.35,424663,431243,437826,444398,450921,457404,463819,470167,476428,482615,488716,494716,500637,506476,512226,517894,523464,528936,534294,539537,544670,549691,554590,559355,563990,568494,572859,577079,581159,585084,588860,592485,595955,599260,602422,605418,608256,610927,613427,615757,617928
06,Chimborazo,6495.4,476255,481498,486680,491753,496735,501584,506325,510935,515417,519777,524004,528104,532089,535968,539730,543370,546889,550295,553576,556736,559777,562691,565480,568139,570661,573046,575296,577401,579364,581187,582859,584396,585787,587031,588136,589092,589892,590568,591099,591495,591736
07,El Oro,5745.46,624860,634481,644000,653400,662671,671817,680845,689760,698545,707204,715751,724193,732522,740737,748841,756839,764712,772467,780087,787578,794924,802117,809139,816012,822702,829216,835542,841689,847629,853381,858928,864277,869413,874331,879043,883545,887847,891931,895797,899452,902892
08,Esmeraldas,16074.26,551712,561605,571382,581010,590483,599777,608906,617851,626626,635227,643654,651917,660024,667970,675767,683412,690903,698231,705397,712393,719201,725832,732276,738528,744589,750447,756107,761572,766828,771890,776760,781427,785911,790197,794289,798172,801862,805356,808654,811744,814650
09,Guayas,15338.06,3778720,3840319,3901981,3963541,4024929,4086089,4146996,4207610,4267893,4327845,4387434,4446641,4505474,4563904,4621895,4679414,4736398,4792769,4848537,4903644,4958017,5011647,5064455,5116413,5167468,5217572,5266724,5314863,5361976,5408030,5453032,5496937,5539731,5581409,5621998,5661457,5699794,5737019,5773106,5808082,5841958
10,Imbabura,4577.13,413657,419919,426223,432543,438868,445175,451476,457737,463957,470129,476257,482326,488326,494268,500138,505921,511620,517222,522721,528123,533413,538567,543609,548527,553302,557950,562469,566838,571053,575115,579031,582784,586381,589826,593093,596194,599123,601882,604469,606878,609126
