time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-18T12:20:36.588Z,18.9175,-65.1823,35,2.6,ml,,330,0.997,0.26,us,us6000cptn,2020-11-18T12:26:42.040Z,"69 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.9,2,0.079,21,reviewed,us,us
2020-11-18T12:09:07.560Z,33.0776667,-115.5955,10.82,2.87,ml,42,36,0.04092,0.3,ci,ci39469159,2020-11-18T12:25:22.826Z,"5km NNE of Westmorland, CA",earthquake,0.38,0.73,0.184,26,automatic,ci,ci
2020-11-18T11:59:09.137Z,18.8755,-65.1347,37.71,4.3,mwr,,100,0.995,0.93,us,us6000cpsl,2020-11-18T12:30:24.351Z,"62 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.4,9.7,0.041,56,reviewed,us,us
2020-11-18T11:37:54.726Z,-4.7392,102.8371,82.45,4.7,mb,,89,0.394,0.8,us,us6000cpsh,2020-11-18T11:59:20.040Z,"91 km SSW of Pagar Alam, Indonesia",earthquake,8.3,5.4,0.079,49,reviewed,us,us
2020-11-18T11:18:37.200Z,19.1703338623047,-155.471328735352,31.1000003814697,2.73,ml,50,85,,0.0900000036,hv,hv72234082,2020-11-18T11:31:05.040Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.51,0.680000007,1.61,31,automatic,hv,hv
2020-11-18T10:45:00.049Z,62.1302,-152.0526,105.2,3,ml,,,,0.57,ak,ak020eucsz7a,2020-11-18T11:40:15.231Z,"37 km WNW of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-18T10:33:47.256Z,36.3229,69.8157,130.02,4.7,mb,,65,1.886,0.99,us,us6000cprw,2020-11-18T10:56:41.040Z,"27 km S of Farkhār, Afghanistan",earthquake,7.5,9,0.081,46,reviewed,us,us
2020-11-18T10:23:31.501Z,-6.1917,148.2008,97.06,4.6,mb,,86,3.354,0.92,us,us6000cprt,2020-11-18T10:46:56.040Z,"56 km NE of Finschhafen, Papua New Guinea",earthquake,8.3,8.8,0.095,33,reviewed,us,us
2020-11-18T10:06:43.520Z,18.1405,-67.4015,9,3.29,md,12,230,0.256,0.35,pr,pr2020323005,2020-11-18T10:26:10.206Z,"23 km WNW of Puerto Real, Puerto Rico",earthquake,2.15,1.08,0.08,7,reviewed,pr,pr
2020-11-18T09:35:03.860Z,18.0173,-66.7441,14,2.56,md,11,173,0.1402,0.26,pr,pr2020323004,2020-11-18T09:48:27.209Z,"2 km E of Magas Arriba, Puerto Rico",earthquake,1.03,0.67,0.29,6,reviewed,pr,pr
2020-11-18T08:40:02.460Z,18.1651,-67.3923,15,2.84,md,13,223,0.2359,0.18,pr,pr2020323003,2020-11-18T09:46:23.546Z,"23 km SW of Stella, Puerto Rico",earthquake,0.94,0.74,0.09,5,reviewed,pr,pr
2020-11-18T08:26:46.553Z,-20.3162,-69.0812,101.94,4.8,mb,,50,0.186,0.75,us,us6000cpr5,2020-11-18T08:42:36.040Z,"112 km E of Iquique, Chile",earthquake,4.5,5.3,0.102,30,reviewed,us,us
