origin,destinantion,2017
Algeria,Algeria,1
Algeria,Gambia,1
Algeria,Guinea,7
Algeria,Mali,19
Argentina,Argentina,14
Argentina,Bolivia,11
Argentina,India,3
Argentina,Paraguay,7
Armenia,Armenia,7
Australia,Australia,5
Austria,Austria,23
Austria,Bulgaria,9
Austria,Croatia,1
Austria,Hungary,5
Austria,Nigeria,14
Austria,Paraguay,2
Austria,Philippines,1
Austria,Poland,1
Austria,Romania,9
Austria,Serbia,3
Austria,Slovakia,1
Austria,Turkey,1
Bahrain,Bangladesh,2
Bahrain,Colombia,4
Bahrain,India,2
Bahrain,Indonesia,13
Bahrain,Philippines,1
Bahrain,Russia,8
Bahrain,Thailand,2
Bahrain,Viet Nam,1
Belarus,Belarus,45
Belarus,Russia,2
Belarus,Ukraine,1
Bolivia,Bolivia,188
Bolivia,Paraguay,8
Canada,Canada,36
Colombia,Argentina,1
Colombia,Colombia,11
Colombia,Costa Rica,1
Colombia,Venezuela,1
Cote d'Ivoire,China,7
Cote d'Ivoire,Cote d'Ivoire,3
Croatia,Bosnia-Herzegovina,8
Croatia,Croatia,19
Croatia,Nigeria,1
Croatia,Romania,1
Cyprus,Cameroon,1
Cyprus,Cote d'Ivoire,1
Cyprus,Eritrea,1
Cyprus,Philippines,1
Cyprus,Romania,4
Cyprus,Russia,1
Czechia,Czechia,5
Czechia,Moldova,5
Czechia,Slovakia,1
Czechia,Ukraine,5
Denmark,Brazil,1
Denmark,China,1
Denmark,Congo,2
Denmark,Gambia,1
Denmark,Ghana,2
Denmark,Morocco,1
Denmark,Serbia,1
Denmark,Thailand,12
Dominican Rep.,Nicaragua,25
Ecuador,Ecuador,35
Ecuador,Venezuela,8
Egypt,Egypt,38
El Salvador,El Salvador,28
Estonia,Estonia,9
Finland,Afghanistan,11
Finland,Bangladesh,1
Finland,China,1
Finland,Congo,1
Finland,Eritrea,1
Finland,Gambia,1
Finland,Ghana,1
Finland,Iraq,6
Finland,Morocco,1
Finland,Nepal,1
Finland,Nigeria,8
Finland,Philippines,1
Finland,Romania,1
Finland,Rwanda,1
Finland,Senegal,1
Finland,Somalia,8
Finland,Thailand,1
Finland,Togo,1
Finland,Ukraine,1
Georgia,Georgia,2
Georgia,Uzbekistan,1
Honduras,Honduras,42
Honduras,Nicaragua,1
Hungary,China,6
Hungary,Denmark,1
Hungary,Iran,1
Hungary,Poland,1
Hungary,Slovakia,2
Hungary,UK,2
Kosovo,Latvia,18
Kosovo,Tajikistan,2
Kuwait,Cameroon,1
Kuwait,Guinea,1
Kuwait,Sierra Leone,3
Kyrgyzstan,Kyrgyzstan,4
Latvia,Latvia,4
Latvia,Tajikistan,2
Lebanon,Bangladesh,7
Lebanon,Ethiopia,23
Lebanon,Syria,13
Lebanon,Togo,1
Luxembourg,Albania,7
Luxembourg,China,1
Luxembourg,Colombia,1
Luxembourg,Philippines,1
Luxembourg,Romania,3
Luxembourg,Ukraine,1
Malaysia,Bangladesh,14
Malaysia,Cambodia,221
Malaysia,China,1
Malaysia,India,13
Malaysia,Indonesia,135
Malaysia,Malaysia,36
Malaysia,Mongolia,2
Malaysia,Myanmar,52
Malaysia,Nigeria,5
Malaysia,Philippines,57
Malaysia,Rwanda,2
Malaysia,Thailand,58
Malaysia,Uzbekistan,3
Malaysia,Viet Nam,66
Mauritius,Mauritius,7
Mauritius,Nepal,2
Montenegro,Serbia,2
Morocco,Morocco,11
Myanmar,China,28
Myanmar,Thailand,4
New Zealand,Samoa,2
Nigeria,Benin,9
Nigeria,Cameroon,1
Nigeria,Ghana,6
Nigeria,Guinea-Bissau,1
Nigeria,Niger,5
Nigeria,Nigeria,583
Nigeria,Sierra Leone,1
Nigeria,Togo,3
Nigeria,Zambia,1
Panama,Colombia,23
Panama,Dominican Rep.,5
Panama,Nicaragua,1
Panama,Panama,3
Panama,Venezuela,2
Peru,Argentina,4
Peru,Bolivia,2
Peru,Brazil,2
Peru,Colombia,4
Peru,Peru,429
Peru,Philippines,3
Peru,Venezuela,1
Poland,Nigeria,1
Poland,Moldova,1
Poland,Ukraine,22
Moldova,Moldova,32
Rwanda,Nigeria,1
Rwanda,Rwanda,3
Serbia,Serbia,2
Slovakia,Hungary,1
Slovakia,Slovakia,19
Slovakia,Ukraine,1
Slovenia,Bosnia-Herzegovina,6
Slovenia,Bulgaria,4
Slovenia,Kosovo,4
Slovenia,Romania,1
Slovenia,Serbia,16
Slovenia,Slovakia,2
Slovenia,Slovenia,2
Sri Lanka,Sri Lanka,4
Sri Lanka,Uzbekistan,1
Tajikistan,Tajikistan,4
Thailand,Cambodia,18
Thailand,Indonesia,8
Thailand,Laos,13
Thailand,Thailand,194
Thailand,Uganda,3
Macedonia,Macedonia,2
Tunisia,Bangladesh,1
Tunisia,Cote d'Ivoire,15
Tunisia,Morocco,4
Tunisia,Nigeria,1
Tunisia,Senegal,1
Tunisia,Tunisia,139
Ukraine,Ukraine,58
UK,Bulgaria,1
UK,Czechia,1
UK,India,1
UK,Poland,2
UK,Romania,3
UK,UK,18
UK,Viet Nam,3
Venezuela,Venezuela,14
